QR code,ent,name,FPhilm,Trial,test,plot,geometry,FP2,Ht,Pod,Mat,Lod,Yld,oil ,protein,notes,rep,loc,locc,rng,row,run,field,Sds/env,,source,,,parents,trait,0,2.5.7,geno,"1,2,3",Reg tests,Variety,
2441ABLV853,29,LD22-10592,MMbl/ibl,2441A,2441ABLV,853,"POLYGON ((9 20, 10 20, 10 21, 9 21, 9 20))",,,,-9,1,50.3,21.1,34.6,,2,Belleville,BLV,,,,,800,,2358B-41,,,LD15-1628 x LD15-3818,Rhg1 88788,,,RSSS,SS,,,29
2441ABLV854,26,LD22-8713,MLtbr,2441A,2441ABLV,854,"POLYGON ((10 20, 11 20, 11 21, 10 21, 10 20))",,,,-9,1,44.1,21.8,34,,2,Belleville,BLV,,,,,800,,2385A-19,,,LD18-14216 x LD11-2170 HOLL (532-560),"HOLL, Rhg1 88788",,,RSSS,SS,,,26
2441ABLV855,18,LD22-6285,PLtbr,2441A,2441ABLV,855,"POLYGON ((11 20, 12 20, 12 21, 11 21, 11 20))",,,,-9,2,48.3,22.5,31,,2,Belleville,BLV,,,,,800,,23GS09-9,,,20506067GDM x LD11-2170,0,,,SSSS,SS,,,18
2441ABLV856,17,LD22-6267,WLtbl,2441A,2441ABLV,856,"POLYGON ((7 21, 8 21, 8 22, 7 22, 7 21))",,,,-9,1.5,39.3,21.9,32.9,,2,Belleville,BLV,,,,,800,,23GS08-34,,,S13-2743C x LD15-5776793,Rhg1 88788,,,RSSS,SS,,,17
2441ABLV857,21,LD22-8395,MLtbl/br,2441A,2441ABLV,857,"POLYGON ((8 21, 9 21, 9 22, 8 22, 8 21))",,,,-9,1.5,51.2,21.4,31.8,,2,Belleville,BLV,,,,,800,,2385A-12,,,LD18-14554 x 2170 HOLL (201-248),"HOLL Rs2, Rhg1 88788",,,RSSS,SS,,,21
2441ABLV858,11,LD21-3549,PLtbl/br,2441A,2441ABLV,858,"POLYGON ((9 21, 10 21, 10 22, 9 22, 9 21))",,,,-9,1,46.4,21.3,33.8,,2,Belleville,BLV,,,,,800,,2341A-18,,,HOLL 85- 2 x HOLL 15- 1,"HOLL, Rhg1 88788",,,RSSS,SS,"24 PT 4TM, MSMC",,11
2441ABLV859,15,LD22-5567,PLtbl,2441A,2441ABLV,859,"POLYGON ((10 21, 11 21, 11 22, 10 22, 10 21))",,,,-9,1,48.5,21.9,33.1,,2,Belleville,BLV,,,,,800,,2358A-26,,,LD15-456 x LD15-3818,Rhg1 88788,,,RSSS,SS,,,15
2441ABLV860,30,LD22-3011904,WLtbl,2441A,2441ABLV,860,"POLYGON ((11 21, 12 21, 12 22, 11 22, 11 21))",,,,-9,1,42.2,21.6,32.3,,2,Belleville,BLV,,,,,800,,23HOLL3B-11,,,SA18-268PR  x  LD18-7512,"HOLL, Rhg1 88788",,,RSSS,SS,,,30
2441BBLV901,5,LD19-10076,PGibl,2441B,2441BBLV,901,"POLYGON ((2 22, 3 22, 3 23, 2 23, 2 22))",,,,-9,1,41.6,22.9,31.7,,1,Belleville,BLV,,,,,800,,2341B-5,23 INC Demo,,LD12-459 x LD13-8769,scn soja,3,45,RSRR,SSS,"24 SU, UT 4",Illini 4221N,5
2441BBLV902,21,LD22-10859,PLtbl,2441B,2441BBLV,902,"POLYGON ((3 22, 4 22, 4 23, 3 23, 3 22))",,,,-9,1,47.3,22.4,31.1,,1,Belleville,BLV,,,,,800,,2359A-55,,,20506078GDM x LD15-5776793,Rhg1 88788,,,RSSS,SS,,,21
2441BBLV903,6,LD19-10244,WLtbl,2441B,2441BBLV,903,"POLYGON ((4 22, 5 22, 5 23, 4 23, 4 22))",,,,-9,2,45.2,21.8,31.9,,1,Belleville,BLV,,,,,800,,2341B-6,23 INC Demo,,LG12-2177 x LD13-8769,soja scn,11,39,HSRR,SSS,"24 SU, UT 4",Illini 4599N,6
2441BBLV904,7,LD19-12943,WGbf,2441B,2441BBLV,904,"POLYGON ((5 22, 6 22, 6 23, 5 23, 5 22))",,,,-9,1,45,22.4,32.3,,1,Belleville,BLV,,,,,800,,2341B-7,23 INC Demo,,(LD12-1843 x LD16-10275) x (LD13-3483 x LDXGL15-012-1),"HOLL,SCN",4,na,RSSS,SSS,"24 UT 4TM, MSMC",23PR INC,7
